grades,step1,step2,step3,step4,step5,year,
16,21423.29,22323.53,23261.59,,,2023,
15,18934.61,19730.28,20559.35,21131.35,21423.29,2023,
14,16735,17438.26,18171.03,18676.57,18934.61,2023,
13,14790.98,15412.5,16060.14,16506.99,16735,2023,
12,13072.74,13622.07,14194.5,14589.4,14790.98,2023,
11,11554.11,12039.62,12545.54,12894.59,13072.74,2023,
10,10211.93,10641.03,11088.19,11396.67,11554.11,2023,
9,9025.62,9404.89,9800.12,10072.75,10211.93,2023,
8,7977.14,8312.35,8661.64,8902.63,9025.62,2023,
7,7050.47,7346.74,7655.45,7868.45,7977.14,2023,
6,6231.42,6493.29,6766.13,6954.39,7050.47,2023,
5,5507.55,5738.98,5980.14,6146.53,6231.42,2023,
4,4867.76,5072.29,5285.44,5432.5,5507.55,2023,
3,4302.25,4483.07,4671.45,4801.4,4867.76,2023,
2,3802.49,3962.27,4128.77,4243.65,4302.25,2023,
1,3360.76,3501.98,3649.13,3750.7,3802.49,2023,
16,20856.62,21733.04,22646.29,,,2022,
15,18433.77,19208.39,20015.53,20572.4,20856.62,2022,
14,16292.34,16976.99,17690.38,18182.55,18433.77,2022,
13,14399.73,15004.82,15635.33,16070.35,16292.34,2022,
12,12726.95,13261.75,13819.04,14203.49,14399.73,2022,
11,11248.49,11721.16,12213.7,12553.51,12726.95,2022,
10,9941.81,10359.56,10794.9,11095.21,11248.49,2022,
9,8786.88,9156.12,9540.89,9806.31,9941.81,2022,
8,7766.14,8092.48,8432.53,8667.15,8786.88,2022,
7,6863.97,7152.41,7452.95,7660.31,7766.14,2022,
6,6066.59,6321.53,6587.16,6770.43,6863.97,2022,
5,5361.87,5587.18,5821.96,5983.94,6066.59,2022,
4,4739,4938.12,5145.63,5288.8,5361.87,2022,
3,4188.45,4364.48,4547.89,4674.4,4739,2022,
2,3701.91,3857.46,4019.56,4131.4,4188.45,2022,
1,3271.87,3409.35,3552.61,3651.48,3701.91,2022,
16,19490.71,20309.74,21163.17,,,2021,
15,17226.53,17950.42,18704.71,19225.11,19490.71,2021,
14,15225.35,15865.16,16531.83,16991.77,17226.53,2021,
13,13456.69,14022.15,14611.37,15017.9,15225.35,2021,
12,11893.46,12393.23,12914.02,13273.3,13456.69,2021,
11,10511.83,10953.54,11413.82,11731.38,11893.46,2021,
10,9290.71,9681.1,10087.94,10368.58,10511.83,2021,
9,8211.43,8556.48,8916.05,9164.09,9290.71,2021,
8,7257.53,7562.5,7880.28,8099.53,8211.43,2021,
7,6414.44,6683.99,6964.85,7158.63,7257.53,2021,
6,5669.29,5907.53,6155.76,6327.03,6414.44,2021,
5,5010.72,5221.27,5440.67,5592.05,5669.29,2021,
4,4428.64,4614.72,4808.64,4942.43,5010.72,2021,
3,3914.15,4078.65,4250.05,4368.27,4428.64,2021,
2,3459.47,3604.83,3756.32,3860.83,3914.15,2021,
1,3057.6,3186.07,3319.95,3412.34,3459.47,2021,
16,19127.29,19931.05,20768.57,20768.57,20768.57,2020,
15,16905.33,17615.72,18355.95,18866.64,19127.29,2020,
14,14941.46,15569.34,16223.58,16674.95,16905.33,2020,
13,13205.78,13760.7,14338.93,14737.88,14941.46,2020,
