"c3","date","country","COLLEGE","SG","SJ","COMM","ECFIN","ENTR","COMP","EMPL","AGRI","MOVE","ENER","ENV","CLIMA","RTD","JRC","INFSO","MARE","MARKT","REGIO","TAXUD","EAC","HOME","JUST","FPI","TRADE","DEVCO","ECHO","ESTAT","HR","DIGIT","BUDG","IAS","OLAF","SCIC","DGT","OP","OIB","PMO","OIL","EPSO","CdP.OSP","CNECT","GROW","FISMA","SANTE","NEAR","NON.ASSIGN.DG","TF50","SRSS","DEFIS","IDEA","REFORM","UKTF","total","INTPA","HERA","year","month","spring"
"AUT",2011-12-01,"Austria",17,8,7,12,17,16,24,16,19,10,11,10,1,13,36,14,4,10,8,6,8,4,7,1,18,24,7,9,7,3,8,2,6,11,11,5,3,2,3,3,2,0,0,0,8,12,0,0,0,0,0,0,0,846,0,0,2011,12,0
"AUT",2020-07-01,"Austria",10,12,11,19,14,0,19,14,21,7,10,7,4,12,43,0,2,0,11,13,10,10,11,4,10,36,9,10,15,3,7,2,3,6,10,7,3,6,2,4,0,13,21,5,3,32,0,0,0,0,0,1,1,473,0,0,2020,7,0
"AUT",2018-01-01,"Austria",12,11,9,22,14,0,18,15,18,8,11,8,3,19,40,0,5,0,8,12,10,8,11,5,12,32,8,16,12,2,9,1,5,7,7,6,3,4,3,5,1,18,20,5,6,24,0,0,0,0,1,0,0,948,0,0,2018,1,1
"AUT",2017-01-01,"Austria",10,11,8,20,15,0,20,18,17,11,12,11,3,20,40,0,4,0,9,10,11,7,10,6,14,31,7,15,8,3,8,2,7,7,9,6,3,4,3,5,1,16,21,6,8,23,0,0,0,0,2,0,0,964,0,0,2017,1,1
"AUT",2012-12-01,"Austria",16,8,8,12,17,16,24,18,21,9,10,12,4,14,35,0,4,10,7,10,9,5,6,2,16,23,7,10,7,3,7,2,6,9,11,6,3,4,3,3,2,11,0,0,8,12,0,0,0,0,0,0,0,860,0,0,2012,12,0
"AUT",2018-10-01,"Austria",11,13,10,22,16,0,19,13,19,7,9,7,3,16,41,0,4,0,7,12,11,9,12,6,11,33,9,13,11,2,8,1,2,7,8,5,3,4,3,4,1,16,21,4,5,24,0,0,0,0,1,0,0,463,0,0,2018,10,0
"AUT",2013-12-01,"Austria",15,9,6,11,17,14,24,16,19,10,9,11,4,13,37,0,4,11,7,10,9,4,8,1,15,22,6,9,7,3,9,2,6,9,10,5,3,3,3,3,2,10,0,0,10,11,0,0,0,0,0,0,0,834,0,0,2013,12,0
"AUT",2019-04-03,"Austria",10,13,10,22,15,0,17,14,21,7,10,7,3,14,41,0,4,0,8,13,11,10,11,5,11,37,9,13,13,2,9,2,2,6,10,5,3,4,3,3,0,16,21,5,5,25,0,0,0,0,1,0,0,471,0,0,2019,4,1
"AUT",2014-12-01,"Austria",11,8,7,13,16,15,25,14,21,10,9,11,3,14,35,0,6,13,8,10,11,5,7,1,12,24,7,12,8,3,9,2,5,8,11,4,3,2,3,4,1,13,0,0,10,10,0,0,0,0,0,0,0,848,0,0,2014,12,0
"AUT",2019-01-01,"Austria",10,13,10,24,16,0,18,14,19,7,9,6,3,15,42,0,5,0,8,13,11,10,11,5,11,34,10,13,13,2,8,2,2,7,9,5,3,4,3,4,0,16,21,5,5,24,0,0,0,0,1,0,0,471,0,0,2019,1,1
"AUT",2015-01-01,"Austria",11,7,7,16,14,0,25,16,22,12,9,13,3,22,38,0,6,0,8,9,10,6,10,5,12,34,7,12,9,3,9,2,6,7,11,4,4,3,3,5,2,15,21,7,8,19,0,0,0,0,0,0,0,944,0,0,2015,1,1
"AUT",2016-01-01,"Austria",11,11,8,19,14,0,23,17,18,11,11,9,3,18,39,0,7,0,8,9,10,7,10,6,13,32,8,13,8,3,8,2,8,8,11,6,3,4,3,6,1,14,20,7,8,21,0,0,0,0,1,0,0,954,0,0,2016,1,1
