State,2009,2011,2013,2014,2020
Germany,99,99,99,96,96
France,72,74,74,74,79
United Kingdom,72,73,73,73,
Italy,72,73,73,73,76
Spain,50,54,54,54,59
Poland,50,51,51,51,52
Romania,33,33,33,32,33
Netherlands,25,26,26,26,29
Belgium,22,22,22,21,21
Greece,22,22,22,21,21
Czech Republic,22,22,22,21,21
Portugal,22,22,22,21,21
Sweden,18,20,20,20,21
Hungary,22,22,22,21,21
Austria,17,19,19,18,19
Bulgaria,17,18,18,17,17
Denmark,13,13,13,13,14
Finland,13,13,13,13,14
Slovakia,13,13,13,13,14
Ireland,12,12,12,11,13
Croatia,,,12,11,12
Lithuania,12,12,12,11,11
Slovenia,7,8,8,8,8
Latvia,8,9,9,8,8
Estonia,6,6,6,6,7
Cyprus,6,6,6,6,6
Luxembourg,6,6,6,6,6
Malta,5,6,6,6,6
