"country","spring","year","iso2c","gdp","ysp"
"Albania",0,2011,"AL",2416.4,2011.5
"Albania",0,2012,"AL",2475.2,2012.5
"Albania",0,2013,"AL",2421.65,2013.5
"Albania",0,2014,"AL",2539.25,2014.5
"Albania",0,2015,"AL",2631.95,2015.5
"Albania",0,2016,"AL",2763.6,2016.5
"Albania",0,2017,"AL",2962.55,2017.5
"Albania",0,2018,"AL",3314.55,2018.5
"Albania",0,2019,"AL",3520.15,2019.5
"Albania",0,2020,"AL",3508.95,2020.5
"Albania",0,2021,"AL",3925.85,2021.5
"Albania",0,2022,"AL",4733.25,2022.5
"Albania",0,2023,"AL",5744.75,2023.5
"Albania",1,2011,"AL",2217.35,2011
"Albania",1,2012,"AL",2317.6,2012
"Albania",1,2013,"AL",2390.25,2013
"Albania",1,2014,"AL",2445.35,2014
"Albania",1,2015,"AL",2500.7,2015
"Albania",1,2016,"AL",2597.5,2016
"Albania",1,2017,"AL",2819,2017
"Albania",1,2018,"AL",3109.5,2018
"Albania",1,2019,"AL",3359.6,2019
"Albania",1,2020,"AL",3146,2020
"Albania",1,2021,"AL",3655.35,2021
"Albania",1,2022,"AL",4264.35,2022
"Albania",1,2023,"AL",4927.05,2023
"Austria",0,2011,"AT",79636.4,2011.5
"Austria",0,2012,"AT",81525.55,2012.5
"Austria",0,2013,"AT",83056.15,2013.5
"Austria",0,2014,"AT",85467.55,2014.5
"Austria",0,2015,"AT",88428.6,2015.5
"Austria",0,2016,"AT",91120,2016.5
"Austria",0,2017,"AT",94577.5,2017.5
"Austria",0,2018,"AT",98460.8,2018.5
"Austria",0,2019,"AT",101066.1,2019.5
"Austria",0,2020,"AT",98369.8,2020.5
"Austria",0,2021,"AT",106240.45,2021.5
"Austria",0,2022,"AT",115130.35,2022.5
"Austria",0,2023,"AT",120565.55,2023.5
"Austria",1,2011,"AT",75427.9,2011
"Austria",1,2012,"AT",77801,2012
"Austria",1,2013,"AT",78898.95,2013
"Austria",1,2014,"AT",81105.5,2014
"Austria",1,2015,"AT",83706.05,2015
"Austria",1,2016,"AT",87684,2016
"Austria",1,2017,"AT",90103.4,2017
"Austria",1,2018,"AT",94176.25,2018
"Austria",1,2019,"AT",97507.5,2019
"Austria",1,2020,"AT",92074.5,2020
"Austria",1,2021,"AT",96380.3,2021
"Austria",1,2022,"AT",108478.45,2022
"Austria",1,2023,"AT",118058.85,2023
"Belgium",0,2011,"BE",95294,2011.5
"Belgium",0,2012,"BE",97522,2012.5
"Belgium",0,2013,"BE",99484,2013.5
"Belgium",0,2014,"BE",102425,2014.5
"Belgium",0,2015,"BE",105855.5,2015.5
"Belgium",0,2016,"BE",109367.5,2016.5
"Belgium",0,2017,"BE",112416.5,2017.5
