"ysp","country","iso2c","iso3c","date","pop","pop_int"
2011,"Austria","AT","AUT","2011",8391643,8391643
2011.5,"Austria",NA,NA,NA,NA,8410817
2012,"Austria","AT","AUT","2012",8429991,8429991
2012.5,"Austria",NA,NA,NA,NA,8454907
2013,"Austria","AT","AUT","2013",8479823,8479823
2013.5,"Austria",NA,NA,NA,NA,8513089.5
2014,"Austria","AT","AUT","2014",8546356,8546356
2014.5,"Austria",NA,NA,NA,NA,8594527.5
2015,"Austria","AT","AUT","2015",8642699,8642699
2015.5,"Austria",NA,NA,NA,NA,8689683.5
2016,"Austria","AT","AUT","2016",8736668,8736668
2016.5,"Austria",NA,NA,NA,NA,8767117
2017,"Austria","AT","AUT","2017",8797566,8797566
2017.5,"Austria",NA,NA,NA,NA,8819043.5
2018,"Austria","AT","AUT","2018",8840521,8840521
2018.5,"Austria",NA,NA,NA,NA,8860220.5
2019,"Austria","AT","AUT","2019",8879920,8879920
2019.5,"Austria",NA,NA,NA,NA,8898392
2020,"Austria","AT","AUT","2020",8916864,8916864
2020.5,"Austria",NA,NA,NA,NA,8936330.5
2021,"Austria","AT","AUT","2021",8955797,8955797
2021.5,"Austria",NA,NA,NA,NA,8998824
2022,"Austria","AT","AUT","2022",9041851,9041851
2022.5,"Austria",NA,NA,NA,NA,9073311.5
2023,"Austria","AT","AUT","2023",9104772,9104772
2011,"Belgium","BE","BEL","2011",11038264,11038264
2011.5,"Belgium",NA,NA,NA,NA,11072598
2012,"Belgium","BE","BEL","2012",11106932,11106932
2012.5,"Belgium",NA,NA,NA,NA,11133169.5
2013,"Belgium","BE","BEL","2013",11159407,11159407
2013.5,"Belgium",NA,NA,NA,NA,11184232
2014,"Belgium","BE","BEL","2014",11209057,11209057
2014.5,"Belgium",NA,NA,NA,NA,11241626.5
2015,"Belgium","BE","BEL","2015",11274196,11274196
2015.5,"Belgium",NA,NA,NA,NA,11302809
2016,"Belgium","BE","BEL","2016",11331422,11331422
2016.5,"Belgium",NA,NA,NA,NA,11353290
2017,"Belgium","BE","BEL","2017",11375158,11375158
2017.5,"Belgium",NA,NA,NA,NA,11401106
2018,"Belgium","BE","BEL","2018",11427054,11427054
2018.5,"Belgium",NA,NA,NA,NA,11458017
2019,"Belgium","BE","BEL","2019",11488980,11488980
2019.5,"Belgium",NA,NA,NA,NA,11513792
2020,"Belgium","BE","BEL","2020",11538604,11538604
2020.5,"Belgium",NA,NA,NA,NA,11562399.5
2021,"Belgium","BE","BEL","2021",11586195,11586195
2021.5,"Belgium",NA,NA,NA,NA,11636004.5
2022,"Belgium","BE","BEL","2022",11685814,11685814
2022.5,"Belgium",NA,NA,NA,NA,11714305
2023,"Belgium","BE","BEL","2023",11742796,11742796
2011,"Bulgaria","BG","BGR","2011",7348328,7348328
2011.5,"Bulgaria",NA,NA,NA,NA,7327108
2012,"Bulgaria","BG","BGR","2012",7305888,7305888
2012.5,"Bulgaria",NA,NA,NA,NA,7285501.5
2013,"Bulgaria","BG","BGR","2013",7265115,7265115
2013.5,"Bulgaria",NA,NA,NA,NA,7244526.5
2014,"Bulgaria","BG","BGR","2014",7223938,7223938
2014.5,"Bulgaria",NA,NA,NA,NA,7200964.5
2015,"Bulgaria","BG","BGR","2015",7177991,7177991
2015.5,"Bulgaria",NA,NA,NA,NA,7152906.5
2016,"Bulgaria","BG","BGR","2016",7127822,7127822
2016.5,"Bulgaria",NA,NA,NA,NA,7101884.5
2017,"Bulgaria","BG","BGR","2017",7075947,7075947
2017.5,"Bulgaria",NA,NA,NA,NA,7050492
2018,"Bulgaria","BG","BGR","2018",7025037,7025037
2018.5,"Bulgaria",NA,NA,NA,NA,7000399
2019,"Bulgaria","BG","BGR","2019",6975761,6975761
2019.5,"Bulgaria",NA,NA,NA,NA,6954888
2020,"Bulgaria","BG","BGR","2020",6934015,6934015
2020.5,"Bulgaria",NA,NA,NA,NA,6905879
2021,"Bulgaria","BG","BGR","2021",6877743,6877743
2021.5,"Bulgaria",NA,NA,NA,NA,6671420
2022,"Bulgaria","BG","BGR","2022",6465097,6465097
2022.5,"Bulgaria",NA,NA,NA,NA,6456403.5
2023,"Bulgaria","BG","BGR","2023",6447710,6447710
2011,"Cyprus","CY","CYP","2011",1145086,1145086
2011.5,"Cyprus",NA,NA,NA,NA,1150821
2012,"Cyprus","CY","CYP","2012",1156556,1156556
2012.5,"Cyprus",NA,NA,NA,NA,1161762
2013,"Cyprus","CY","CYP","2013",1166968,1166968
2013.5,"Cyprus",NA,NA,NA,NA,1171981.5
2014,"Cyprus","CY","CYP","2014",1176995,1176995
2014.5,"Cyprus",NA,NA,NA,NA,1182137.5
2015,"Cyprus","CY","CYP","2015",1187280,1187280
2015.5,"Cyprus",NA,NA,NA,NA,1192580.5
2016,"Cyprus","CY","CYP","2016",1197881,1197881
2016.5,"Cyprus",NA,NA,NA,NA,1203202
2017,"Cyprus","CY","CYP","2017",1208523,1208523
2017.5,"Cyprus",NA,NA,NA,NA,1213677
2018,"Cyprus","CY","CYP","2018",1218831,1218831
2018.5,"Cyprus",NA,NA,NA,NA,1223833.5
2019,"Cyprus","CY","CYP","2019",1228836,1228836
2019.5,"Cyprus",NA,NA,NA,NA,1233186.5
2020,"Cyprus","CY","CYP","2020",1237537,1237537
2020.5,"Cyprus",NA,NA,NA,NA,1240862.5
2021,"Cyprus","CY","CYP","2021",1244188,1244188
2021.5,"Cyprus",NA,NA,NA,NA,1247838
2022,"Cyprus","CY","CYP","2022",1251488,1251488
2022.5,"Cyprus",NA,NA,NA,NA,1086094.5
2023,"Cyprus","CY","CYP","2023",920701,920701
2011,"Czechia","CZ","CZE","2011",10496088,10496088
2011.5,"Czechia",NA,NA,NA,NA,10503436.5
2012,"Czechia","CZ","CZE","2012",10510785,10510785
2012.5,"Czechia",NA,NA,NA,NA,10512528.5
2013,"Czechia","CZ","CZE","2013",10514272,10514272
2013.5,"Czechia",NA,NA,NA,NA,10519809.5
2014,"Czechia","CZ","CZE","2014",10525347,10525347
2014.5,"Czechia",NA,NA,NA,NA,10535703
2015,"Czechia","CZ","CZE","2015",10546059,10546059
2015.5,"Czechia",NA,NA,NA,NA,10556195.5
2016,"Czechia","CZ","CZE","2016",10566332,10566332
2016.5,"Czechia",NA,NA,NA,NA,10580385
2017,"Czechia","CZ","CZE","2017",10594438,10594438
2017.5,"Czechia",NA,NA,NA,NA,10612183
2018,"Czechia","CZ","CZE","2018",10629928,10629928
2018.5,"Czechia",NA,NA,NA,NA,10650899
2019,"Czechia","CZ","CZE","2019",10671870,10671870
2019.5,"Czechia",NA,NA,NA,NA,10684864
2020,"Czechia","CZ","CZE","2020",10697858,10697858
2020.5,"Czechia",NA,NA,NA,NA,10601815
2021,"Czechia","CZ","CZE","2021",10505772,10505772
2021.5,"Czechia",NA,NA,NA,NA,10588945
2022,"Czechia","CZ","CZE","2022",10672118,10672118
2022.5,"Czechia",NA,NA,NA,NA,10749823.5
2023,"Czechia","CZ","CZE","2023",10827529,10827529
2011,"Germany","DE","DEU","2011",80274983,80274983
2011.5,"Germany",NA,NA,NA,NA,80350403
2012,"Germany","DE","DEU","2012",80425823,80425823
2012.5,"Germany",NA,NA,NA,NA,80535714
2013,"Germany","DE","DEU","2013",80645605,80645605
2013.5,"Germany",NA,NA,NA,NA,80814052.5
